S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
289,M R P L,153.80,26.01,26954.94,0.00,627.36,190.02,22648.57,-9.29,4.38
290,Gillette India,8220.50,46.70,26790.61,1.35,143.65,8.00,810.81,3.71,56.06
291,Emcure Pharma,1411.60,33.41,26758.95,0.21,251.37,25.13,2269.82,13.38,20.72
292,Krishna Institu.,661.50,80.53,26469.21,0.00,72.00,-37.45,960.70,23.59,15.00
293,New India Assura,160.40,22.74,26433.92,1.11,55.30,-39.73,13449.68,24.70,3.59
294,Tata Technolog.,644.00,37.68,26129.90,1.28,165.50,5.14,1323.33,2.07,25.80
295,Kaynes Tech,3894.05,68.88,26103.55,0.00,121.41,101.64,906.22,58.40,14.28
296,Indraprastha Gas,185.15,16.18,25921.03,2.25,384.95,-15.08,4023.40,8.81,20.85
297,Aegis Logistics,738.10,36.18,25907.32,0.96,244.02,42.61,2294.01,31.05,13.20
298,Nuvama Wealth,7030.15,24.87,25562.47,2.07,253.98,-1.36,1134.71,7.75,20.40
299,Asahi India Glas,995.90,88.54,25388.22,0.20,58.19,-40.77,1151.22,-0.56,12.45
300,Syngene Intl.,629.05,54.14,25346.86,0.20,67.10,-36.76,910.60,2.20,13.52
301,IRB Infra.Devl.,41.96,29.00,25339.66,0.70,140.82,41.00,1751.02,10.42,7.82
302,Ather Energy,647.85,,24709.55,0.00,-154.10,21.86,898.90,54.05,-65.71
303,Nexus Select,160.91,50.25,24377.89,2.75,132.32,20.03,630.89,13.19,5.17
304,The Ramco Cement,1021.40,127.35,24134.88,0.20,77.88,200.93,2238.74,9.52,4.77
305,Dr Lal Pathlabs,2874.30,45.12,24079.58,0.81,152.20,16.41,730.60,10.66,28.88
306,IIFL Finance,563.40,27.92,23957.32,0.00,417.94,25.08,3305.11,29.31,8.81
307,Firstsour.Solu.,338.50,36.15,23932.87,1.15,179.52,28.79,2312.22,20.09,15.37
308,Anand Rathi Wea.,2870.35,69.37,23829.93,0.37,99.90,30.53,297.37,22.64,56.26
309,EIH,379.45,31.12,23729.46,0.39,116.56,-17.77,597.94,1.52,23.43
310,Manappuram Fin.,277.70,52.34,23505.47,1.25,217.31,-61.47,2283.46,-13.28,11.03
311,Himadri Special,463.60,35.70,23389.49,0.13,176.14,30.51,1071.03,-5.80,22.01
312,Karur Vysya Bank,241.45,11.15,23333.84,0.89,573.96,21.19,2807.97,17.66,7.38
313,JSW Holdings,20820.15,196.27,23110.38,0.00,59.61,-49.60,83.57,-48.47,0.85
314,Amber Enterp.,6559.00,103.53,23069.29,0.00,-32.15,-271.15,1647.01,-2.24,14.49
315,PNB Housing,884.00,10.53,23029.00,0.57,626.49,32.82,2167.91,16.08,9.46
316,Pfizer,5029.60,32.54,23009.28,0.69,189.02,19.37,642.34,9.13,21.62
317,Emami,525.90,30.44,22955.55,1.53,148.35,-30.24,798.51,-10.34,32.42
